record,rank,value,name
Top Grossing Associate Producer at the Domestic Box Office (Rank 801-900),886,"$30,038,362",D-J-Caruso
Top Grossing Director at the Domestic Box Office (Rank 201-300),228,"$341,032,453",D-J-Caruso
"Top Grossing Executive Producer at the Domestic Box Office (Rank 3,001-3,100)",3005,"$8,087,783",D-J-Caruso
"Top Grossing Producer at the Domestic Box Office (Rank 1,701-1,800)",1771,"$28,607,015",D-J-Caruso
"Top Grossing Screenwriter at the Domestic Box Office (Rank 2,501-2,600)",2547,"$2,423,467",D-J-Caruso
Top Grossing Director at the International Box Office (Rank 101-200),159,"$545,426,963",D-J-Caruso
"Top Grossing Screenwriter at the International Box Office (Rank 3,001-3,100)",3085,"$721,221",D-J-Caruso
"Top Grossing Associate Producer at the Worldwide Box Office (Rank 1,001-1,100)",1007,"$30,038,362",D-J-Caruso
Top Grossing Director at the Worldwide Box Office (Rank 101-200),175,"$886,459,416",D-J-Caruso
"Top Grossing Executive Producer at the Worldwide Box Office (Rank 3,501-3,600)",3524,"$8,087,783",D-J-Caruso
"Top Grossing Producer at the Worldwide Box Office (Rank 2,201-2,300)",2273,"$28,607,015",D-J-Caruso
"Top Grossing Screenwriter at the Worldwide Box Office (Rank 3,101-3,200)",3157,"$3,144,688",D-J-Caruso
Top Grossing Associate Producer at the Domestic Box Office (Rank 801-900),886,"$30,038,362",Dean-Devlin
Top Grossing Director at the Domestic Box Office (Rank 201-300),228,"$341,032,453",Dean-Devlin
"Top Grossing Executive Producer at the Domestic Box Office (Rank 3,001-3,100)",3005,"$8,087,783",Dean-Devlin
"Top Grossing Producer at the Domestic Box Office (Rank 1,701-1,800)",1771,"$28,607,015",Dean-Devlin
"Top Grossing Screenwriter at the Domestic Box Office (Rank 2,501-2,600)",2547,"$2,423,467",Dean-Devlin
Top Grossing Director at the International Box Office (Rank 101-200),159,"$545,426,963",Dean-Devlin
"Top Grossing Screenwriter at the International Box Office (Rank 3,001-3,100)",3085,"$721,221",Dean-Devlin
"Top Grossing Associate Producer at the Worldwide Box Office (Rank 1,001-1,100)",1007,"$30,038,362",Dean-Devlin
Top Grossing Director at the Worldwide Box Office (Rank 101-200),175,"$886,459,416",Dean-Devlin
"Top Grossing Executive Producer at the Worldwide Box Office (Rank 3,501-3,600)",3524,"$8,087,783",Dean-Devlin
"Top Grossing Producer at the Worldwide Box Office (Rank 2,201-2,300)",2273,"$28,607,015",Dean-Devlin
"Top Grossing Screenwriter at the Worldwide Box Office (Rank 3,101-3,200)",3157,"$3,144,688",Dean-Devlin
Top Grossing Associate Producer at the Domestic Box Office (Rank 801-900),886,"$30,038,362",F-Gary
Top Grossing Director at the Domestic Box Office (Rank 201-300),228,"$341,032,453",F-Gary
"Top Grossing Executive Producer at the Domestic Box Office (Rank 3,001-3,100)",3005,"$8,087,783",F-Gary
"Top Grossing Producer at the Domestic Box Office (Rank 1,701-1,800)",1771,"$28,607,015",F-Gary
"Top Grossing Screenwriter at the Domestic Box Office (Rank 2,501-2,600)",2547,"$2,423,467",F-Gary
Top Grossing Director at the International Box Office (Rank 101-200),159,"$545,426,963",F-Gary
"Top Grossing Screenwriter at the International Box Office (Rank 3,001-3,100)",3085,"$721,221",F-Gary
"Top Grossing Associate Producer at the Worldwide Box Office (Rank 1,001-1,100)",1007,"$30,038,362",F-Gary
Top Grossing Director at the Worldwide Box Office (Rank 101-200),175,"$886,459,416",F-Gary
"Top Grossing Executive Producer at the Worldwide Box Office (Rank 3,501-3,600)",3524,"$8,087,783",F-Gary
"Top Grossing Producer at the Worldwide Box Office (Rank 2,201-2,300)",2273,"$28,607,015",F-Gary
"Top Grossing Screenwriter at the Worldwide Box Office (Rank 3,101-3,200)",3157,"$3,144,688",F-Gary
Top Grossing Associate Producer at the Domestic Box Office (Rank 801-900),886,"$30,038,362",Alex-Kurtzman
Top Grossing Director at the Domestic Box Office (Rank 201-300),228,"$341,032,453",Alex-Kurtzman
"Top Grossing Executive Producer at the Domestic Box Office (Rank 3,001-3,100)",3005,"$8,087,783",Alex-Kurtzman
"Top Grossing Producer at the Domestic Box Office (Rank 1,701-1,800)",1771,"$28,607,015",Alex-Kurtzman
"Top Grossing Screenwriter at the Domestic Box Office (Rank 2,501-2,600)",2547,"$2,423,467",Alex-Kurtzman
Top Grossing Director at the International Box Office (Rank 101-200),159,"$545,426,963",Alex-Kurtzman
"Top Grossing Screenwriter at the International Box Office (Rank 3,001-3,100)",3085,"$721,221",Alex-Kurtzman
"Top Grossing Associate Producer at the Worldwide Box Office (Rank 1,001-1,100)",1007,"$30,038,362",Alex-Kurtzman
Top Grossing Director at the Worldwide Box Office (Rank 101-200),175,"$886,459,416",Alex-Kurtzman
"Top Grossing Executive Producer at the Worldwide Box Office (Rank 3,501-3,600)",3524,"$8,087,783",Alex-Kurtzman
"Top Grossing Producer at the Worldwide Box Office (Rank 2,201-2,300)",2273,"$28,607,015",Alex-Kurtzman
"Top Grossing Screenwriter at the Worldwide Box Office (Rank 3,101-3,200)",3157,"$3,144,688",Alex-Kurtzman
Top Grossing Associate Producer at the Domestic Box Office (Rank 801-900),886,"$30,038,362",Jordan-Vogt-Roberts
Top Grossing Director at the Domestic Box Office (Rank 201-300),228,"$341,032,453",Jordan-Vogt-Roberts
"Top Grossing Executive Producer at the Domestic Box Office (Rank 3,001-3,100)",3005,"$8,087,783",Jordan-Vogt-Roberts
"Top Grossing Producer at the Domestic Box Office (Rank 1,701-1,800)",1771,"$28,607,015",Jordan-Vogt-Roberts
"Top Grossing Screenwriter at the Domestic Box Office (Rank 2,501-2,600)",2547,"$2,423,467",Jordan-Vogt-Roberts
Top Grossing Director at the International Box Office (Rank 101-200),159,"$545,426,963",Jordan-Vogt-Roberts
"Top Grossing Screenwriter at the International Box Office (Rank 3,001-3,100)",3085,"$721,221",Jordan-Vogt-Roberts
"Top Grossing Associate Producer at the Worldwide Box Office (Rank 1,001-1,100)",1007,"$30,038,362",Jordan-Vogt-Roberts
Top Grossing Director at the Worldwide Box Office (Rank 101-200),175,"$886,459,416",Jordan-Vogt-Roberts
"Top Grossing Executive Producer at the Worldwide Box Office (Rank 3,501-3,600)",3524,"$8,087,783",Jordan-Vogt-Roberts
"Top Grossing Producer at the Worldwide Box Office (Rank 2,201-2,300)",2273,"$28,607,015",Jordan-Vogt-Roberts
"Top Grossing Screenwriter at the Worldwide Box Office (Rank 3,101-3,200)",3157,"$3,144,688",Jordan-Vogt-Roberts
Top Grossing Associate Producer at the Domestic Box Office (Rank 801-900),886,"$30,038,362",Lasse-HallstrA-m
Top Grossing Director at the Domestic Box Office (Rank 201-300),228,"$341,032,453",Lasse-HallstrA-m
"Top Grossing Executive Producer at the Domestic Box Office (Rank 3,001-3,100)",3005,"$8,087,783",Lasse-HallstrA-m
"Top Grossing Producer at the Domestic Box Office (Rank 1,701-1,800)",1771,"$28,607,015",Lasse-HallstrA-m
"Top Grossing Screenwriter at the Domestic Box Office (Rank 2,501-2,600)",2547,"$2,423,467",Lasse-HallstrA-m
Top Grossing Director at the International Box Office (Rank 101-200),159,"$545,426,963",Lasse-HallstrA-m
"Top Grossing Screenwriter at the International Box Office (Rank 3,001-3,100)",3085,"$721,221",Lasse-HallstrA-m
"Top Grossing Associate Producer at the Worldwide Box Office (Rank 1,001-1,100)",1007,"$30,038,362",Lasse-HallstrA-m
Top Grossing Director at the Worldwide Box Office (Rank 101-200),175,"$886,459,416",Lasse-HallstrA-m
"Top Grossing Executive Producer at the Worldwide Box Office (Rank 3,501-3,600)",3524,"$8,087,783",Lasse-HallstrA-m
"Top Grossing Producer at the Worldwide Box Office (Rank 2,201-2,300)",2273,"$28,607,015",Lasse-HallstrA-m
"Top Grossing Screenwriter at the Worldwide Box Office (Rank 3,101-3,200)",3157,"$3,144,688",Lasse-HallstrA-m
